['PAT11970', '860623062958804', '392581896851']
['PAT12101', '860623062953342', '392556131258']
['PAT7965', '860623062854334', '392588344546']
['PAT8187', '860623062933195', '392583899202']
['PAT8679', '860623062827132', '392583786806']
['PAT10241', '860623067244671', '392096934204']
['PAT11182', '860623067230175', '392100877575']
['PAT11374', '860623067244903', '392101542741']
['PAT11775', '860623067316016', '392102106484']
['PAT1503', '860623067328805', '392097482161']
['PAT1505', '860623067303451', '392097447608']
['PAT5542', '860623067240562', '392101995713']
['PAT7031', '860623067289999', '392102297297']
['PAT9300', '860623067330918', '392100595782']
['PAT11326', '860623062810328', '392421517692']
['PAT11812', '860623062811136', '392405810520']
['PAT9950', '860623067262855', '392420974281']
